sep=;
time;model_id;model_name;port_name;data
0;1;start;;0
0;5;hand;;{value: 0, card: NO CARD}
0;6;threshold-c;;{threshold: 15, comparisonValue: 0}
0;8;hand;;{value: 0, card: NO CARD}
0;9;threshold-d;;{threshold: 17, comparisonValue: 0}
0;10;deck;;State: IDLE, cards remaining: 52
Current Order: [A,A,A,A,2,2,2,2,3,3,3,3,4,4,4,4,5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,8,9,9,9,9,10,10,10,10,J,J,J,J,Q,Q,Q,Q,K,K,K,K,]

0;11;controller;;State(controller): Player Score= 0, Dealer Score= 0
 Current player: CHALLENGER

0;1;start;out;1
0;1;start;;inf
0;11;controller;;State(controller): Player Score= 0, Dealer Score= 0
 Current player: CHALLENGER

1;10;deck;;State: SHUFFLE, cards remaining: 52
Current Order: [A,A,A,A,2,2,2,2,3,3,3,3,4,4,4,4,5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,8,9,9,9,9,10,10,10,10,J,J,J,J,Q,Q,Q,Q,K,K,K,K,]

1;11;controller;commandOutPort;SHUFFLE
1;11;controller;;State(controller): Player Score= 0, Dealer Score= 0
 Current player: CHALLENGER

11;10;deck;hitOutPort;HIT
11;10;deck;;State: IDLE, cards remaining: 52
Current Order: [Q,Q,3,10,K,2,K,8,A,K,4,5,9,7,2,5,8,3,7,10,10,3,6,7,Q,7,2,6,4,K,2,9,J,Q,A,9,A,J,6,4,5,10,8,9,5,8,3,J,J,A,4,6,]

11;11;controller;;State(controller): Player Score= 0, Dealer Score= 0
 Current player: CHALLENGER

12;10;deck;;State: DRAW_CHALLENGER, cards remaining: 52
Current Order: [Q,Q,3,10,K,2,K,8,A,K,4,5,9,7,2,5,8,3,7,10,10,3,6,7,Q,7,2,6,4,K,2,9,J,Q,A,9,A,J,6,4,5,10,8,9,5,8,3,J,J,A,4,6,]

12;11;controller;commandOutPort;DRAW
12;11;controller;playerOutPort;CHALLENGER
12;11;controller;;State(controller): Player Score= 0, Dealer Score= 0
 Current player: CHALLENGER

13;5;hand;;{value: 0, card: 6}
13;10;deck;challengerCardOutPort;6
13;10;deck;;State: IDLE, cards remaining: 51
Current Order: [Q,Q,3,10,K,2,K,8,A,K,4,5,9,7,2,5,8,3,7,10,10,3,6,7,Q,7,2,6,4,K,2,9,J,Q,A,9,A,J,6,4,5,10,8,9,5,8,3,J,J,A,4,]

13.1;5;hand;handValueOut;6
13.1;5;hand;;{value: 6, card: NO CARD}
13.1;6;threshold-c;;{threshold: 15, comparisonValue: 6}
13.2;6;threshold-c;decisionOut;HIT
13.2;6;threshold-c;;{threshold: 15, comparisonValue: 0}
13.2;11;controller;;State(controller): Player Score= 0, Dealer Score= 0
 Current player: CHALLENGER

14.2;10;deck;;State: DRAW_CHALLENGER, cards remaining: 51
Current Order: [Q,Q,3,10,K,2,K,8,A,K,4,5,9,7,2,5,8,3,7,10,10,3,6,7,Q,7,2,6,4,K,2,9,J,Q,A,9,A,J,6,4,5,10,8,9,5,8,3,J,J,A,4,]

14.2;11;controller;commandOutPort;DRAW
14.2;11;controller;playerOutPort;CHALLENGER
14.2;11;controller;;State(controller): Player Score= 0, Dealer Score= 0
 Current player: CHALLENGER

15.2;5;hand;;{value: 6, card: 4}
15.2;10;deck;challengerCardOutPort;4
15.2;10;deck;;State: IDLE, cards remaining: 50
Current Order: [Q,Q,3,10,K,2,K,8,A,K,4,5,9,7,2,5,8,3,7,10,10,3,6,7,Q,7,2,6,4,K,2,9,J,Q,A,9,A,J,6,4,5,10,8,9,5,8,3,J,J,A,]

15.3;5;hand;handValueOut;10
15.3;5;hand;;{value: 10, card: NO CARD}
15.3;6;threshold-c;;{threshold: 15, comparisonValue: 10}
15.4;6;threshold-c;decisionOut;HIT
15.4;6;threshold-c;;{threshold: 15, comparisonValue: 0}
